Variable,Importance,StDev
d_above_avg_delta_rate_X1,0.04668820678513733,0.0037515013986573
density,0.019801523194091886,0.002596966076143946
division_South.Atlantic,0.012162474036464366,0.0013806557904214333
d_low_flag_X1,0.005677359796907477,0.001033256920709651
gdp,0.005492730210016161,0.0014424955745314968
pct_af_am,0.004984998846065125,0.0017001133744517247
d_state_medicaid_expansion_X1,0.003577198246018931,6.815926281509668e-4
days_late_before_notice,0.0033002538656820013,9.854721304654091e-4
d_rental_license_required_X1,0.0025848142164782264,0.0012394882105468369
fed_spending_per_month_subsidized,0.002238633741057039,7.998396018506134e-4
