Variable,Importance,StDev
d_above_avg_delta_rate_X1,0.07888299099930765,0.0026733240683249854
division_South.Atlantic,0.05815831987075929,0.001912424477983839
density,0.02907915993537965,0.002542151187300314
d_rental_license_required_X1,0.009439187629817668,8.73406691559989e-4
urban_type_Metro,0.004800369259173776,6.949205194637441e-4
d_low_flag_X1,0.003577198246018931,5.466832219228972e-4
d_state_medicaid_expansion_X1,0.0030233094853450494,3.516925748338219e-4
economic_type_Mining,0.0014539579967689398,1.1148070425562747e-4
d_persistent_poverty_X1,0.001338564504961881,2.3835577174904555e-4
dissimilarity_index,0.0011077775213477637,2.837001140793174e-4
