fips,county,gini_index,total_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,same_house_1_year_ago_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,moved_within_same_county_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,moved_from_different_county_within_same_state_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,moved_from_different_state_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,moved_from_abroad_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,same_house_1_year_ago_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,same_house_1_year_ago_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_within_same_county_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_within_same_county_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_different_county_within_same_state_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_different_county_within_same_state_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_different_state_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_different_state_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_abroad_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_abroad_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,total_means_of_transportation_to_work,"car,_truck,_or_van_means_of_transportation_to_work",public_transportation_(excluding_taxicab)_means_of_transportation_to_work,taxicab_means_of_transportation_to_work,motorcycle_means_of_transportation_to_work,bicycle_means_of_transportation_to_work,walked_means_of_transportation_to_work,other_means_means_of_transportation_to_work,total_travel_time_to_work,less_than_5_minutes_travel_time_to_work,5_to_9_minutes_travel_time_to_work,10_to_14_minutes_travel_time_to_work,15_to_19_minutes_travel_time_to_work,20_to_24_minutes_travel_time_to_work,25_to_29_minutes_travel_time_to_work,30_to_34_minutes_travel_time_to_work,35_to_39_minutes_travel_time_to_work,40_to_44_minutes_travel_time_to_work,45_to_59_minutes_travel_time_to_work,60_to_89_minutes_travel_time_to_work,90_or_more_minutes_travel_time_to_work,total_family_type_by_presence_and_age_of_own_children_under_18_years,married_couple_family_with_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years,married_couple_family_no_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years,"other_family_male_householder,_no_wife_present_family_type_by_presence_and_age_of_own_children_under_18_years","other_family_male_householder,_no_wife_present_with_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years","other_family_male_householder,_no_wife_present_no_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years","other_family_female_householder,_no_husband_present_with_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years","other_family_female_householder,_no_husband_present_no_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years",median_household_income,total_housing_units,total_occupancy_status,vacant_occupancy_status,total_tenure,owner_occupied_tenure,renter_occupied_tenure,average_household_size,owner_occupied_average_household_size,renter_occupied_average_household_size,total_units_in_structure,"1,_detached_units_in_structure","1,_attached_units_in_structure",2_units_in_structure,3_or_4_units_in_structure,5_to_9_units_in_structure,10_to_19_units_in_structure,20_to_49_units_in_structure,50_or_more_units_in_structure,mobile_home_units_in_structure,"boat,_rv,_van,_etc._units_in_structure",median_year_structure_built,median_year_structure_built_owner_occupied,median_year_structure_built_renter_occupied,median_contract_rent,median_gross_rent,median_gross_rent_as_a_percentage_of_household_income,median_value_,median_real_estate_taxes_paid,median_monthly_housing_costs
29229,"Wright County, Missouri",0.4855,18219,15307,1638,737,518,19,12408,5611,11516,3678,514,1100,142,541,217,292,19,0,6494,5646,0,0,40,2,320,105,6113,509,914,694,717,422,341,783,105,199,520,757,152,4873,1340,2306,283,169,114,483,461,30581,8649,8649,1254,7395,5020,2375,2.46,2.49,2.38,8649,6339,99,295,378,74,67,45,12,1340,0,1979,1980,1977,352,534,28.4,89800,486,520
29047,"Clay County, Missouri",0.4062,230775,194925,18486,9962,6895,507,166965,61073,153206,40319,6699,11335,3637,5659,3143,3554,280,206,118872,110074,738,27,140,95,1486,792,113352,2373,11519,15850,19125,20153,9657,14819,3953,4504,8087,2199,1113,59439,18999,26483,4243,2291,1952,5798,3916,63702,95107,95107,6718,88389,61755,26634,2.61,2.73,2.33,95107,68819,3736,2321,3248,4808,5518,2902,1775,1980,0,1982,1985,1978,686,851,26.2,156600,2119,996
29065,"Dent County, Missouri",0.4595,15370,12884,1441,769,248,28,10835,4322,9947,2852,578,775,179,553,103,142,28,0,5768,5364,26,0,6,0,72,151,5619,403,1064,810,475,409,219,806,204,287,434,365,143,3897,1076,2007,307,175,132,254,253,38020,7242,7242,1353,5889,4206,1683,2.61,2.6,2.62,7242,5233,59,172,244,19,37,9,0,1457,12,1976,1977,1974,365,479,25.9,100300,682,516
29195,"Saline County, Missouri",0.414,22919,18797,2437,1211,321,153,14820,6721,13382,4758,918,1373,457,371,45,175,18,44,10520,9732,73,0,5,23,293,136,10262,1192,3007,1828,1173,736,466,676,212,119,394,274,185,5789,1474,2749,463,321,142,698,405,40645,10090,10090,1305,8785,5919,2866,2.49,2.53,2.38,10090,7958,160,277,336,221,185,172,132,648,1,1968,1967,1970,408,631,27.4,92800,860,655
29227,"Worth County, Missouri",0.3912,2050,1871,110,47,22,0,1464,529,1435,400,10,79,2,45,17,5,0,0,970,849,2,0,2,0,68,1,922,120,166,72,55,43,61,104,29,65,122,45,40,636,171,365,39,19,20,42,19,44974,1273,1273,356,917,678,239,2.19,2.17,2.23,1273,1071,6,8,27,7,42,0,3,109,0,1955,1955,1957,254,485,18.4,58900,480,452
29079,"Grundy County, Missouri",0.4397,10107,8686,642,580,162,37,7070,2711,6594,1902,214,382,154,363,98,41,10,23,4354,3826,78,0,2,0,216,60,4182,438,1403,603,568,314,183,294,45,71,122,39,102,2623,695,1376,93,38,55,248,211,40187,4995,4995,939,4056,2786,1270,2.44,2.55,2.2,4995,3921,45,130,326,70,49,78,17,359,0,1968,1969,1968,366,570,24.9,83300,772,550
29141,"Morgan County, Missouri",0.4691,19937,17166,1463,907,372,29,14423,5161,13337,3625,633,725,303,567,121,244,29,0,6961,5890,2,0,0,100,344,258,6594,670,814,807,998,636,397,909,105,233,561,280,184,4901,1082,2860,259,119,140,382,318,32807,15415,15415,7532,7883,5912,1971,2.52,2.47,2.66,15415,11261,77,95,326,262,198,126,34,3026,10,1981,1983,1976,426,604,28.5,111900,833,539
29179,"Reynolds County, Missouri",0.4436,6490,5775,459,204,52,0,5080,1204,4825,844,165,238,75,101,15,21,0,0,2392,2143,10,7,0,3,91,47,2301,340,233,168,290,350,208,316,47,66,126,116,41,1797,477,1018,106,79,27,74,122,36736,4001,4001,1349,2652,2122,530,2.38,2.41,2.3,4001,2949,16,34,78,54,7,0,0,863,0,1978,1979,1973,330,517,27.9,82200,540,489
29189,"St. Louis County, Missouri",0.4862,989897,850777,82856,29038,22915,4311,703710,267311,656292,183714,28272,50705,9818,17249,7402,13463,1926,2180,486100,437226,12814,486,599,1168,7113,3221,462627,7953,34580,57036,76912,91062,40957,76825,17041,17149,25833,10924,6355,259427,72312,113995,16612,7982,8630,28696,27812,61103,438537,438537,36821,401716,279989,121727,2.44,2.54,2.23,438537,318064,19610,7224,21248,25154,23379,9221,13582,989,66,1968,1967,1970,724,903,29.1,176000,2491,1021
29209,"Stone County, Missouri",0.4291,30968,26440,1833,1859,802,34,23948,6609,21606,4507,892,920,934,876,482,306,34,0,12015,10928,2,0,22,0,267,30,11249,583,916,1378,928,1277,790,1612,455,895,1511,645,259,8949,1706,5856,491,224,267,444,452,41944,20553,20553,7886,12667,9985,2682,2.43,2.41,2.49,20553,14195,396,331,485,742,879,196,116,3092,121,1990,1991,1983,491,705,31,155500,832,658
29009,"Barry County, Missouri",0.4211,35343,29134,3892,1246,953,118,25351,9684,23039,5946,1246,2577,476,705,475,453,115,3,13885,12674,44,0,3,0,307,149,13177,1250,2128,2343,1594,1367,742,1115,211,288,1136,696,307,9349,2401,5139,602,317,285,593,614,37869,17414,17414,4166,13248,9919,3329,2.67,2.57,2.97,17414,13289,118,247,422,307,40,73,2,2891,25,1980,1981,1978,401,583,27.7,112900,778,598
