state_abb,county,fips_char,geoid,county_fips,state,state_fips,d_homerule,year
ak,aleutians east borough,2013,2013,13,alaska,2,0,2015
ak,aleutians west census area,2016,2016,16,alaska,2,0,2015
ak,anchorage municipality,2020,2020,20,alaska,2,1,2015
ak,bethel census area,2050,2050,50,alaska,2,0,2015
ak,bristol bay borough,2060,2060,60,alaska,2,0,2015
ak,denali borough,2068,2068,68,alaska,2,1,2015
ak,dillingham census area,2070,2070,70,alaska,2,0,2015
ak,fairbanks north star borough,2090,2090,90,alaska,2,0,2015
ak,haines borough,2100,2100,100,alaska,2,1,2015
ak,hoonah-angoon census area,2105,2105,105,alaska,2,0,2015
ak,juneau city and borough,2110,2110,110,alaska,2,1,2015
ak,kenai peninsula borough,2122,2122,122,alaska,2,0,2015
ak,ketchikan gateway borough,2130,2130,130,alaska,2,0,2015
ak,kodiak island borough,2150,2150,150,alaska,2,0,2015
ak,lake and peninsula borough,2164,2164,164,alaska,2,1,2015
ak,matanuska-susitna borough,2170,2170,170,alaska,2,0,2015
ak,nome census area,2180,2180,180,alaska,2,0,2015
ak,north slope borough,2185,2185,185,alaska,2,1,2015
ak,northwest arctic borough,2188,2188,188,alaska,2,1,2015
ak,petersburg borough,2195,2195,195,alaska,2,0,2015
ak,prince of wales-hyder census area,2198,2198,198,alaska,2,0,2015
ak,sitka city and borough,2220,2220,220,alaska,2,1,2015
ak,skagway municipality,2230,2230,230,alaska,2,0,2015
ak,southeast fairbanks census area,2240,2240,240,alaska,2,0,2015
ak,valdez-cordova census area,2261,2261,261,alaska,2,0,2015
ak,wade hampton census area,2270,2270,270,alaska,2,0,2015
ak,wrangell city and borough,2275,2275,275,alaska,2,1,2015
ak,yakutat city and borough,2282,2282,282,alaska,2,1,2015
ak,yukon-koyukuk census area,2290,2290,290,alaska,2,0,2015
al,autauga county,1001,1001,1,alabama,1,0,2015
al,baldwin county,1003,1003,3,alabama,1,0,2015
al,barbour county,1005,1005,5,alabama,1,0,2015
al,bibb county,1007,1007,7,alabama,1,0,2015
al,blount county,1009,1009,9,alabama,1,0,2015
al,bullock county,1011,1011,11,alabama,1,0,2015
al,butler county,1013,1013,13,alabama,1,0,2015
al,calhoun county,1015,1015,15,alabama,1,0,2015
al,chambers county,1017,1017,17,alabama,1,0,2015
al,cherokee county,1019,1019,19,alabama,1,0,2015
al,chilton county,1021,1021,21,alabama,1,0,2015
al,choctaw county,1023,1023,23,alabama,1,0,2015
al,clarke county,1025,1025,25,alabama,1,0,2015
al,clay county,1027,1027,27,alabama,1,0,2015
al,cleburne county,1029,1029,29,alabama,1,0,2015
al,coffee county,1031,1031,31,alabama,1,0,2015
al,colbert county,1033,1033,33,alabama,1,0,2015
al,conecuh county,1035,1035,35,alabama,1,0,2015
al,coosa county,1037,1037,37,alabama,1,0,2015
al,covington county,1039,1039,39,alabama,1,0,2015
al,crenshaw county,1041,1041,41,alabama,1,0,2015
al,cullman county,1043,1043,43,alabama,1,0,2015
al,dale county,1045,1045,45,alabama,1,0,2015
al,dallas county,1047,1047,47,alabama,1,0,2015
al,dekalb county,1049,1049,49,alabama,1,0,2015
al,elmore county,1051,1051,51,alabama,1,0,2015
al,escambia county,1053,1053,53,alabama,1,0,2015
al,etowah county,1055,1055,55,alabama,1,0,2015
al,fayette county,1057,1057,57,alabama,1,0,2015
al,franklin county,1059,1059,59,alabama,1,0,2015
al,geneva county,1061,1061,61,alabama,1,0,2015
al,greene county,1063,1063,63,alabama,1,0,2015
al,hale county,1065,1065,65,alabama,1,0,2015
al,henry county,1067,1067,67,alabama,1,0,2015
al,houston county,1069,1069,69,alabama,1,0,2015
al,jackson county,1071,1071,71,alabama,1,0,2015
al,jefferson county,1073,1073,73,alabama,1,0,2015
al,lamar county,1075,1075,75,alabama,1,0,2015
al,lauderdale county,1077,1077,77,alabama,1,0,2015
al,lawrence county,1079,1079,79,alabama,1,0,2015
al,lee county,1081,1081,81,alabama,1,0,2015
al,limestone county,1083,1083,83,alabama,1,0,2015
al,lowndes county,1085,1085,85,alabama,1,0,2015
al,macon county,1087,1087,87,alabama,1,0,2015
