Full,County,County_fips,State,State_fips,Year_enacted
"Pima County, Arizona",Pima,19,Arizona,4,1970
"Alameda County, California",Alameda,1,California,6,1989
"Los Angeles County, California",Los Angeles,37,California,6,1993
"Marin County, California",Marin,41,California,6,1991
"Napa County, California",Napa,55,California,6,1988
"Sacramento City and County, California",Sacramento,67,California,6,1981
"San Luis Obispo County, California",San Luis Obispo,79,California,6,1990
"San Mateo County, California",San Mateo,81,California,6,1990
"Santa Clara County, California",Santa Clara,85,California,6,1989
"Santa Barbara County, California",Santa Barbara,83,California,6,1992
"Sonoma County, California",Sonoma,97,California,6,1993
"Ventura County, California",Ventura,111,California,6,1993
"Pitkin County, Colorado",Aspen,97,Colorado,8,1993
"Summit County, Colorado",Summit,117,Colorado,8,1993
"San Miguel County, Colorado",San Miguel,113,Colorado,8,1993
"Miami-Dade County, Florida",Miami-Dade,86,Florida,12,1993
"Hillsborough County, Florida",Hillsborough,57,Florida,12,1993
"Pinellas County, Florida",Pinellas,103,Florida,12,1993
"Adair County, Iowa",Adair,1,Iowa,19,1994
"Adams County, Iowa",Adams,3,Iowa,19,1994
"Allamakee County, Iowa",Allamakee,5,Iowa,19,1994
"Appanoose County, Iowa",Appanoose,7,Iowa,19,1994
"Audubon County, Iowa",Audubon,9,Iowa,19,1994
"Benton County, Iowa",Benton,11,Iowa,19,1994
"Black Hawk County, Iowa",Black,13,Iowa,19,1994
"Boone County, Iowa",Boone,15,Iowa,19,1994
"Bremer County, Iowa",Bremer,17,Iowa,19,1994
"Buchanan County, Iowa",Buchanan,19,Iowa,19,1995
"Buena Vista County, Iowa",Buena,21,Iowa,19,1995
"Butler County, Iowa",Butler,23,Iowa,19,1995
"Calhoun County, Iowa",Calhoun,25,Iowa,19,1995
"Carroll County, Iowa",Carroll,27,Iowa,19,1995
"Cass County, Iowa",Cass,29,Iowa,19,1995
"Cedar County, Iowa",Cedar,31,Iowa,19,1995
"Cerro Gordo County, Iowa",Cerro,33,Iowa,19,1996
"Cherokee County, Iowa",Cherokee,35,Iowa,19,1996
"Chickasaw County, Iowa",Chickasaw,37,Iowa,19,1996
"Clarke County, Iowa",Clarke,39,Iowa,19,1996
"Clay County, Iowa",Clay,41,Iowa,19,1996
"Clayton County, Iowa",Clayton,43,Iowa,19,1996
"Clinton County, Iowa",Clinton,45,Iowa,19,1996
"Crawford County, Iowa",Crawford,47,Iowa,19,1996
"Dallas County, Iowa",Dallas,49,Iowa,19,1996
"Davis County, Iowa",Davis,51,Iowa,19,1997
"Decatur County, Iowa",Decatur,53,Iowa,19,1997
"Delaware County, Iowa",Delaware,55,Iowa,19,1997
"Des Moines County, Iowa",Des,57,Iowa,19,1998
"Dickinson County, Iowa",Dickinson,59,Iowa,19,1999
"Dubuque County, Iowa",Dubuque,61,Iowa,19,1999
"Emmet County, Iowa",Emmet,63,Iowa,19,2000
"Fayette County, Iowa",Fayette,65,Iowa,19,2001
"Floyd County, Iowa",Floyd,67,Iowa,19,2001
"Franklin County, Iowa",Franklin,69,Iowa,19,2001
"Fremont County, Iowa",Fremont,71,Iowa,19,2001
"Greene County, Iowa",Greene,73,Iowa,19,2001
"Grundy County, Iowa",Grundy,75,Iowa,19,2001
"Guthrie County, Iowa",Guthrie,77,Iowa,19,2001
