state,state_fips,county,county_fips,d_specific_rent_control
District of Columbia,11,District of Columbia,1,1
Alabama,1,Autauga County,1,0
Alabama,1,Baldwin County,3,0
Alabama,1,Barbour County,5,0
Alabama,1,Bibb County,7,0
Alabama,1,Blount County,9,0
Alabama,1,Bullock County,11,0
Alabama,1,Butler County,13,0
Alabama,1,Calhoun County,15,0
Alabama,1,Chambers County,17,0
Alabama,1,Cherokee County,19,0
Alabama,1,Chilton County,21,0
Alabama,1,Choctaw County,23,0
Alabama,1,Clarke County,25,0
Alabama,1,Clay County,27,0
Alabama,1,Cleburne County,29,0
Alabama,1,Coffee County,31,0
Alabama,1,Colbert County,33,0
Alabama,1,Conecuh County,35,0
Alabama,1,Coosa County,37,0
Alabama,1,Covington County,39,0
Alabama,1,Crenshaw County,41,0
Alabama,1,Cullman County,43,0
Alabama,1,Dale County,45,0
Alabama,1,Dallas County,47,0
Alabama,1,Dekalb County,49,0
Alabama,1,Elmore County,51,0
Alabama,1,Escambia County,53,0
Alabama,1,Etowah County,55,0
Alabama,1,Fayette County,57,0
Alabama,1,Franklin County,59,0
Alabama,1,Geneva County,61,0
Alabama,1,Greene County,63,0
Alabama,1,Hale County,65,0
Alabama,1,Henry County,67,0
Alabama,1,Houston County,69,0
Alabama,1,Jackson County,71,0
Alabama,1,Jefferson County,73,0
Alabama,1,Lamar County,75,0
Alabama,1,Lauderdale County,77,0
Alabama,1,Lawrence County,79,0
Alabama,1,Lee County,81,0
Alabama,1,Limestone County,83,0
Alabama,1,Lowndes County,85,0
Alabama,1,Macon County,87,0
Alabama,1,Madison County,89,0
Alabama,1,Marengo County,91,0
Alabama,1,Marion County,93,0
Alabama,1,Marshall County,95,0
Alabama,1,Mobile County,97,0
Alabama,1,Monroe County,99,0
Alabama,1,Montgomery County,101,0
Alabama,1,Morgan County,103,0
Alabama,1,Perry County,105,0
Alabama,1,Pickens County,107,0
Alabama,1,Pike County,109,0
Alabama,1,Randolph County,111,0
Alabama,1,Russell County,113,0
Alabama,1,St. Clair County,115,0
Alabama,1,Shelby County,117,0
Alabama,1,Sumter County,119,0
Alabama,1,Talladega County,121,0
Alabama,1,Tallapoosa County,123,0
Alabama,1,Tuscaloosa County,125,0
Alabama,1,Walker County,127,0
Alabama,1,Washington County,129,0
Alabama,1,Wilcox County,131,0
Alabama,1,Winston County,133,0
Alaska,2,Aleutians East Borough,13,0
Alaska,2,Aleutians West Census Area,16,0
Alaska,2,Anchorage Municipality,20,0
Alaska,2,Bethel Census Area,50,0
Alaska,2,Bristol Bay Borough,60,0
Alaska,2,Denali Borough,68,0
Alaska,2,Dillingham Census Area,70,0
Alaska,2,Fairbanks North Star Borough,90,0
Alaska,2,Haines Borough,100,0
Alaska,2,Hoonah-Angoon Census Area,105,0
Alaska,2,Juneau City And Borough,110,0
Alaska,2,Kenai Peninsula Borough,122,0
Alaska,2,Ketchikan Gateway Borough,130,0
Alaska,2,Kodiak Island Borough,150,0
Alaska,2,Lake And Peninsula Borough,164,0
Alaska,2,Matanuska-Susitna Borough,170,0
Alaska,2,Nome Census Area,180,0
Alaska,2,North Slope Borough,185,0
Alaska,2,Northwest Arctic Borough,188,0
Alaska,2,Petersburg Borough,195,0
Alaska,2,Prince Of Wales-Hyder Census Area,198,0
Alaska,2,Sitka City And Borough,220,0
Alaska,2,Skagway Municipality,230,0
Alaska,2,Southeast Fairbanks Census Area,240,0
Alaska,2,Valdez-Cordova Census Area,261,0
Alaska,2,Wrangell City And Borough,275,0
Alaska,2,Yakutat City And Borough,282,0
