Variable,Importance,StDev
division_South.Atlantic,0.05278098315255018,0.003360397260716335
d_above_avg_delta_rate_X1,0.009300715439649198,0.0017100054052935794
density,0.0068312947149780645,0.0015238932858729949
d_low_flag_X1,0.006577429033002513,0.002132612704920247
division_West.North.Central,0.005723517193630257,0.0025017895683271574
d_ban_box_X1,0.0038772213247172727,0.0019241477899362665
d_state_medicaid_expansion_X1,0.0019386106623585976,5.126034694655905e-4
d_state_prohibits_government_sex_discrimination_X1,0.0015924301869374101,0.0010739794607456418
average_household_size,0.0015462727902145867,4.2205913452864996e-4
pct_white,0.0010616201246249402,6.81158354371198e-4
