Variable,Importance,StDev
d_above_avg_delta_rate_X1,0.09023771059312255,0.003061735324583803
division_South.Atlantic,0.03978767597507501,0.0012124556230384328
density,0.005908146780521595,0.0016107395742198688
d_low_flag_X1,0.0038772213247172836,0.0011503392964085804
d_state_medicaid_expansion_X1,0.0035310408492961074,9.36197733768804e-4
d_limits_on_late_fees_X1,0.003023309485345038,6.101201649018755e-4
min_wage,0.002007846757442888,4.991500330028308e-4
d_notice_before_entry_X1,0.0019616893607200536,0.0014727432663340836
strength_of_state_planning_role,0.0015001153934917967,8.987861716707513e-4
d_retirement_county_X1,0.001384721901684738,5.439701370771507e-4
