Aspect,Variable
Classification,urban_type_Metro
Classification,urban_type_Mid.sized
Classification,urban_type_Rural
Demographic,d_low_education_X1
Demographic,d_retirement_county_X1
Demographic,pct_white
Demographic,pct_af_am
Demographic,pct_hispanic
Demographic,pct_am_ind
Demographic,pct_asian
Demographic,pct_nh_pi
Demographic,pct_multiple
Demographic,pct_other
Demographic,share_married_with_own_children
Demographic,share_married_with_no_own_children
Demographic,share_single_man_with_own_children
Demographic,share_single_man_with_no_own_children
Demographic,share_single_woman_with_own_children
Demographic,share_single_woman_with_no_own_children
Demographic,dissimilarity_index
Demographic,share_creative_class
Economic,d_low_employment_X1
Economic,d_persistent_poverty_X1
Economic,d_persistent_related_child_poverty_X1
Economic,d_prevailing_wage_X1
Economic,d_right_to_work_law_X1
Economic,d_employment_anti_discrimination_X1
Economic,min_wage
Economic,median_household_income
Economic,gini_index
Economic,poverty_rate
Economic,gdp
Economic,rent_burden
Economic,median_utilities
Economic,economic_type_Federal.State.Government
Economic,economic_type_Manufacturing
Economic,economic_type_Mining
Economic,economic_type_Nonspecialized
Economic,economic_type_Recreation
Geography,d_coastal_state_X1
Geography,land_area
Geography,division_East.South.Central
Geography,division_Middle.Atlantic
Geography,division_Mountain
Geography,division_New.England
Geography,division_Pacific
Geography,division_South.Atlantic
Geography,division_West.North.Central
Geography,division_West.South.Central
Housing,d_specific_rent_control_X1
Housing,rent_burden
Housing,median_gross_rent
Housing,share_vacant
Housing,share_owner_occupied
Housing,share_renter_occupied
Housing,average_household_size
Housing,share_sfh_detached
Housing,share_sfh_attached
Housing,share_duplex
Housing,share_3to4_units
Housing,share_5to9_units
Housing,share_10to19_units
Housing,share_20to49_units
Housing,share_50plus_units
Housing,share_mobile_homes
Housing,share_boat_rv_van
Housing,median_contract_rent
Housing,median_property_value
Housing,median_real_estate_taxes_paid
Housing,median_monthly_housing_costs
Housing,median_year_structure_built_bin_X1970
Housing,median_year_structure_built_bin_X1990
Housing,median_year_structure_built_bin_Before.1950
Housing,share_total_units_new_units
Housing,density
Migration,d_pop_loss_X1
Migration,share_same_house_1_year_ago
Migration,share_moved_within_same_county
Migration,share_moved_diff_county_same_state
Migration,share_moved_diff_state
Migration,share_moved_from_abroad
Political,d_homerule_X1
Political,d_state_prohibits_government_sex_discrimination_X1
Political,d_affirmative_action_ban_X1
Political,d_ban_box_X1
Political,dem_sway
Political,strength_of_state_planning_role
Quality control,d_low_flag_X1
Tenant Rights,d_if_deposit_limit_X1
Tenant Rights,d_receipts_required_X1
Tenant Rights,d_limits_on_late_fees_X1
Tenant Rights,d_notice_before_entry_X1
Tenant Rights,d_rental_license_required_X1
Tenant Rights,d_allows_late_payment_X1
Tenant Rights,delta_eviction_rates
Tenant Rights,max_days_return_security_deposit
Tenant Rights,summary_max_days
Tenant Rights,just_cause_cure_days
Tenant Rights,days_late_before_notice
Tenant Rights,security_deposit_months
Transportation,share_drive_commute
Transportation,share_public_transit_commute
Transportation,share_bike_commute
Transportation,share_walk_commute
Transportation,share_other_commute
Transportation,share_5min_commute
Transportation,share_5to10_commute
Transportation,share_10to14_commute
Transportation,share_15to19_commute
Transportation,share_20to24_commute
Transportation,share_25to29_commute
Transportation,share_30to34_commute
Transportation,share_35to39_commute
Transportation,share_40to44_commute
Transportation,share_45to59_commute
Transportation,share_60to89_commute
Transportation,share_90plus_commute
Welfare,d_earned_leave_X1
Welfare,d_paid_family_leave_program_X1
Welfare,d_eitc_state_X1
Welfare,d_housing_trust_fund_X1
Welfare,d_state_medicaid_expansion_X1
Welfare,pct_occupied_subsidized
Welfare,fed_spending_per_month_subsidized
Welfare,months_waiting_subsidized
Welfare,share_total_housing_units_subsidized
Welfare,share_pop_subsidized
