Aspect,Variable
Classification,urban_type
Quality control,d_low_flag
Geography,division
Geography,d_coastal_state
Geography,land_area
Political,dem_sway
Political,d_homerule
Political,d_state_prohibits_government_sex_discrimination
Political,d_affirmative_action_ban
Political,strength_of_state_planning_role
Political,d_ban_box
Welfare,d_earned_leave
Welfare,d_paid_family_leave_program
Welfare,d_eitc_state
Welfare,d_housing_trust_fund
Welfare,pct_occupied_subsidized
Welfare,fed_spending_per_month_subsidized
Welfare,months_waiting_subsidized
Welfare,share_total_housing_units_subsidized
Welfare,share_pop_subsidized
Welfare,d_state_medicaid_expansion
Tenant Rights,max_days_return_security_deposit
Tenant Rights,summary_max_days
Tenant Rights,just_cause_cure_days
Tenant Rights,days_late_before_notice
Tenant Rights,d_if_deposit_limit
Tenant Rights,d_receipts_required
Tenant Rights,d_limits_on_late_fees
Tenant Rights,d_notice_before_entry
Tenant Rights,d_rental_license_required
Tenant Rights,d_allows_late_payment
Tenant Rights,security_deposit_months
Tenant Rights,delta_eviction_rates
Economic,min_wage
Economic,median_household_income
Economic,gini_index
Economic,economic_type
Economic,d_low_employment
Economic,d_persistent_poverty
Economic,d_persistent_related_child_poverty
Economic,d_prevailing_wage
Economic,d_right_to_work_law
Economic,d_employment_anti_discrimination
Economic,poverty_rate
Economic,gdp
Economic,rent_burden
Economic,median_utilities
Migration,share_same_house_1_year_ago
Migration,share_moved_within_same_county
Migration,share_moved_diff_county_same_state
Migration,share_moved_diff_state
Migration,share_moved_from_abroad
Migration,d_pop_loss
Transportation,share_drive_commute
Transportation,share_public_transit_commute
Transportation,share_bike_commute
Transportation,share_walk_commute
Transportation,share_other_commute
Transportation,share_5min_commute
Transportation,share_5to10_commute
Transportation,share_10to14_commute
Transportation,share_15to19_commute
Transportation,share_20to24_commute
Transportation,share_25to29_commute
Transportation,share_30to34_commute
Transportation,share_35to39_commute
Transportation,share_40to44_commute
Transportation,share_45to59_commute
Transportation,share_60to89_commute
Transportation,share_90plus_commute
Demographic,d_low_education
Demographic,pct_white
Demographic,pct_af_am
Demographic,pct_hispanic
Demographic,pct_am_ind
Demographic,pct_asian
Demographic,pct_nh_pi
Demographic,pct_multiple
Demographic,pct_other
Demographic,share_married_with_own_children
Demographic,share_married_with_no_own_children
Demographic,share_single_man_with_own_children
Demographic,share_single_man_with_no_own_children
Demographic,share_single_woman_with_own_children
Demographic,share_single_woman_with_no_own_children
Demographic,dissimilarity_index
Demographic,share_creative_class
Demographic,d_retirement_county
Housing,median_gross_rent
Housing,share_vacant
Housing,share_owner_occupied
Housing,share_renter_occupied
Housing,average_household_size
Housing,share_sfh_detached
Housing,share_sfh_attached
Housing,share_duplex
Housing,share_3to4_units
Housing,share_5to9_units
Housing,share_10to19_units
Housing,share_20to49_units
Housing,share_50plus_units
Housing,share_mobile_homes
Housing,share_boat_rv_van
Housing,median_property_value
Housing,median_real_estate_taxes_paid
Housing,median_monthly_housing_costs
Housing,median_year_structure_built_bin
Housing,share_total_units_new_units
Housing,density
Housing,d_specific_rent_control
