fips,county,gini_index,total_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,same_house_1_year_ago_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,moved_within_same_county_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,moved_from_different_county_within_same_state_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,moved_from_different_state_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,moved_from_abroad_geographical_mobility_in_the_past_year_by_age_for_current_residence_in_the_united_states,householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,same_house_1_year_ago_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,same_house_1_year_ago_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_within_same_county_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_within_same_county_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_different_county_within_same_state_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_different_county_within_same_state_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_different_state_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_different_state_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_abroad_householder_lived_in_owner_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,moved_from_abroad_householder_lived_in_renter_occupied_housing_units_geographical_mobility_in_the_past_year_by_tenure_for_current_residence_in_the_united_states,total_means_of_transportation_to_work,"car,_truck,_or_van_means_of_transportation_to_work",public_transportation_(excluding_taxicab)_means_of_transportation_to_work,taxicab_means_of_transportation_to_work,motorcycle_means_of_transportation_to_work,bicycle_means_of_transportation_to_work,walked_means_of_transportation_to_work,other_means_means_of_transportation_to_work,total_travel_time_to_work,less_than_5_minutes_travel_time_to_work,5_to_9_minutes_travel_time_to_work,10_to_14_minutes_travel_time_to_work,15_to_19_minutes_travel_time_to_work,20_to_24_minutes_travel_time_to_work,25_to_29_minutes_travel_time_to_work,30_to_34_minutes_travel_time_to_work,35_to_39_minutes_travel_time_to_work,40_to_44_minutes_travel_time_to_work,45_to_59_minutes_travel_time_to_work,60_to_89_minutes_travel_time_to_work,90_or_more_minutes_travel_time_to_work,total_family_type_by_presence_and_age_of_own_children_under_18_years,married_couple_family_with_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years,married_couple_family_no_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years,"other_family_male_householder,_no_wife_present_family_type_by_presence_and_age_of_own_children_under_18_years","other_family_male_householder,_no_wife_present_with_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years","other_family_male_householder,_no_wife_present_no_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years","other_family_female_householder,_no_husband_present_with_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years","other_family_female_householder,_no_husband_present_no_own_children_of_the_householder_under_18_years_family_type_by_presence_and_age_of_own_children_under_18_years",median_household_income,total_housing_units,total_occupancy_status,vacant_occupancy_status,total_tenure,owner_occupied_tenure,renter_occupied_tenure,average_household_size,owner_occupied_average_household_size,renter_occupied_average_household_size,total_units_in_structure,"1,_detached_units_in_structure","1,_attached_units_in_structure",2_units_in_structure,3_or_4_units_in_structure,5_to_9_units_in_structure,10_to_19_units_in_structure,20_to_49_units_in_structure,50_or_more_units_in_structure,mobile_home_units_in_structure,"boat,_rv,_van,_etc._units_in_structure",median_year_structure_built,median_year_structure_built_owner_occupied,median_year_structure_built_renter_occupied,median_contract_rent,median_gross_rent,median_gross_rent_as_a_percentage_of_household_income,median_value_,median_real_estate_taxes_paid,median_monthly_housing_costs
56037,"Sweetwater County, Wyoming",0.3674,42411,34302,4758,695,2429,227,31885,9855,28676,5427,2391,2203,224,391,496,1711,98,123,21731,19983,642,0,21,22,558,92,21318,1813,4720,4872,2855,1391,596,1195,375,430,1176,913,982,11780,4414,5133,832,508,324,1039,362,72096,18436,18436,2018,16418,12041,4377,2.59,2.69,2.31,18436,10606,728,643,532,426,419,628,134,4320,0,1977,1978,1973,737,851,20.3,180300,1046,867
56031,"Platte County, Wyoming",0.4041,8650,7619,585,337,100,9,6689,1861,6445,1123,189,362,37,293,18,75,0,8,4086,3419,28,0,0,44,233,9,3733,580,1138,674,404,254,126,135,15,7,55,145,200,2407,638,1366,68,43,25,287,48,46171,4665,4665,1018,3647,2849,798,2.35,2.36,2.33,4665,3322,69,36,132,45,65,15,0,981,0,1972,1973,1962,412,547,24.1,136100,681,577
56033,"Sheridan County, Wyoming",0.4046,28344,23831,2291,1111,1058,53,19608,7887,18106,5464,862,1295,246,590,371,514,23,24,14745,13314,0,0,56,113,533,62,14078,1221,3241,3376,2074,1371,524,957,197,170,359,248,340,7603,2209,3972,538,374,164,573,311,51667,13815,13815,1547,12268,8544,3724,2.27,2.33,2.16,13815,10129,470,307,617,482,157,175,112,1366,0,1974,1975,1972,606,728,25.7,224900,1336,810
56003,"Big Horn County, Wyoming",0.3946,11430,9864,660,282,587,37,8720,2539,8089,1691,374,240,63,183,175,407,19,18,5228,4485,0,0,14,53,246,23,4821,963,1053,828,477,379,142,241,86,35,153,249,215,3308,1126,1765,155,85,70,139,123,52597,5360,5360,748,4612,3506,1106,2.47,2.5,2.36,5360,4196,39,141,86,90,40,9,0,759,0,1970,1971,1964,396,549,19.4,120400,758,603
56011,"Crook County, Wyoming",0.3529,6776,6030,261,172,312,1,4935,1754,4751,1241,85,144,46,118,52,251,1,0,3314,2588,23,0,0,28,347,38,3024,555,589,241,155,219,112,467,86,78,254,203,65,2008,543,1158,49,19,30,202,56,49757,3563,3563,669,2894,2166,728,2.36,2.33,2.45,3563,2465,4,11,29,54,15,0,0,985,0,1979,1979,1980,552,640,17.2,156300,714,611
56029,"Park County, Wyoming",0.4371,27727,22552,2606,582,1852,135,19565,7363,17685,4670,914,1507,201,271,756,815,9,100,14247,12280,0,0,60,41,771,49,13201,1535,3335,3231,1453,1183,283,964,117,138,380,218,364,7669,1987,4548,233,157,76,623,278,50105,13444,13444,1570,11874,8430,3444,2.29,2.33,2.18,13444,9746,443,551,414,302,73,100,20,1793,2,1977,1981,1969,519,669,22.1,203000,1334,741
56001,"Albany County, Wyoming",0.4846,35212,24627,4552,2373,3267,393,18288,14281,16648,7314,1103,3199,198,1377,329,2071,10,320,19444,15066,256,14,40,1167,1664,211,18418,1776,5538,6126,1992,1001,196,759,2,157,480,272,119,7204,2130,3688,552,326,226,506,328,45760,17809,17809,3126,14683,7886,6797,2.24,2.34,2.12,17809,9044,1058,1114,1719,1270,1083,486,182,1840,13,1974,1975,1974,629,689,33.7,194900,1260,773
56007,"Carbon County, Wyoming",0.3792,15488,12406,1371,564,1142,5,10702,3658,9662,2236,647,679,115,26,278,712,0,5,7719,6894,39,2,9,11,372,111,7438,1458,2124,1346,657,280,98,197,63,301,561,233,120,4259,1295,2145,283,158,125,374,162,58655,8546,8546,2329,6217,4622,1595,2.35,2.35,2.36,8546,6279,130,132,261,233,118,188,9,1175,21,1973,1973,1975,546,694,19.9,139200,708,760
56015,"Goshen County, Wyoming",0.4155,12927,10625,942,445,904,11,8422,3832,7696,2609,377,494,216,50,123,679,10,0,6460,5336,40,0,22,37,245,65,5745,707,1584,1082,835,330,129,301,135,49,267,137,189,3408,792,2050,208,142,66,223,135,42126,5979,5979,693,5286,3655,1631,2.34,2.32,2.39,5979,4791,98,99,158,33,71,62,0,651,16,1967,1971,1961,422,582,26.4,132400,837,592
56041,"Uinta County, Wyoming",0.3979,20470,17222,1846,149,1242,11,16257,3942,14493,2553,1060,742,52,84,641,563,11,0,10123,8952,325,0,11,19,410,62,9779,1527,2881,1878,728,371,41,389,75,134,626,494,635,5226,1985,2295,247,157,90,493,206,59851,8653,8653,1388,7265,5549,1716,2.82,2.98,2.31,8653,5156,515,119,269,465,156,243,18,1712,0,1981,1983,1976,520,601,26.9,178300,895,743
