fips,county,gini_index,share_same_house_1_year_ago,share_moved_within_same_county,share_moved_diff_county_same_state,share_moved_diff_state,share_moved_from_abroad,share_drive_commute,share_public_transit_commute,share_bike_commute,share_walk_commute,share_other_commute,share_5min_commute,share_5to10_commute,share_10to14_commute,share_15to19_commute,share_20to24_commute,share_25to29_commute,share_30to34_commute,share_35to39_commute,share_40to44_commute,share_45to59_commute,share_60to89_commute,share_90plus_commute,share_married_with_own_children,share_married_with_no_own_children,share_single_man_with_own_children,share_single_man_with_no_own_children,share_single_woman_with_own_children,share_single_woman_with_no_own_children,median_household_income,total_housing_units,share_vacant,share_owner_occupied,share_renter_occupied,average_household_size,share_sfh_detached,share_sfh_attached,share_duplex,share_3to4_units,share_5to9_units,share_10to19_units,share_20to49_units,share_50plus_units,share_mobile_homes,share_boat_rv_van,median_year_structure_built,median_contract_rent,median_gross_rent,median_utilities,rent_burden,median_property_value,median_real_estate_taxes_paid,median_monthly_housing_costs
29229,"Wright County, Missouri",0.4855,0.840166859,0.089906142,0.040452275,0.028431857,0.001042867,0.869417924,0,0.000307977,0.049276255,0.022328303,0.083265173,0.149517422,0.113528546,0.117291019,0.069033208,0.055782758,0.128087682,0.017176509,0.032553574,0.085064616,0.123834451,0.024865042,0.274984609,0.473219782,0.034680895,0.023394213,0.099117587,0.094602914,30581,8649,0.14498786,0.688689625,0.311310375,2.46,0.7329171,0.01144641,0.034107989,0.043704475,0.008555902,0.00774656,0.005202914,0.001387444,0.154931206,0,1979,352,534,182,28.4,89800,486,520
29047,"Clay County, Missouri",0.4062,0.844653884,0.080103997,0.043167587,0.029877586,0.002196945,0.925987617,0.006208359,0.000799179,0.012500841,0.008067501,0.020934787,0.101621498,0.13982991,0.16872221,0.177791305,0.085194791,0.13073435,0.034873668,0.039734632,0.071344132,0.019399746,0.009818971,0.319638621,0.445549219,0.038543717,0.032840391,0.097545383,0.06588267,63702,95107,0.070636231,0.730726829,0.269273171,2.61,0.723595529,0.039282072,0.024404092,0.034151009,0.050553587,0.058018863,0.030513001,0.01866319,0.020818657,0,1982,686,851,165,26.2,156600,2119,996
29065,"Dent County, Missouri",0.4595,0.838256344,0.093754066,0.050032531,0.016135329,0.001821731,0.929958391,0.004507628,0,0.012482663,0.02721914,0.071720947,0.189357537,0.144153764,0.084534615,0.072788752,0.038974907,0.143441894,0.036305392,0.051076704,0.077237943,0.064958178,0.025449368,0.276109828,0.515011547,0.044906338,0.033872209,0.065178342,0.064921735,38020,7242,0.186826843,0.712593557,0.287406443,2.61,0.722590445,0.008146921,0.023750345,0.03369235,0.002623585,0.005109086,0.001242751,0,0.201187517,0.001657001,1976,365,479,114,25.9,100300,682,516
29195,"Saline County, Missouri",0.414,0.820149221,0.106330992,0.052838256,0.014005847,0.006675684,0.925095057,0.006939163,0.002186312,0.027851711,0.013403042,0.116156695,0.293022803,0.178132918,0.114305204,0.071720912,0.045410251,0.065874099,0.020658741,0.01159618,0.038394075,0.026700448,0.018027675,0.254620833,0.474866125,0.055449991,0.02452928,0.120573501,0.069960269,40645,10090,0.129335976,0.687076388,0.312923612,2.49,0.788701685,0.015857284,0.027452924,0.033300297,0.021902874,0.018334985,0.017046581,0.01308226,0.064222002,9.91E-05,1968,408,631,223,27.4,92800,860,655
29227,"Worth County, Missouri",0.3912,0.912682927,0.053658537,0.022926829,0.010731707,0,0.875257732,0.002061856,0,0.070103093,0.003092784,0.130151844,0.180043384,0.078091106,0.059652928,0.046637744,0.066160521,0.112798265,0.031453362,0.070498915,0.132321041,0.048806941,0.043383948,0.268867925,0.573899371,0.029874214,0.031446541,0.066037736,0.029874214,44974,1273,0.27965436,0.733532934,0.266467066,2.19,0.841319717,0.004713276,0.006284368,0.021209741,0.005498822,0.03299293,0,0.002356638,0.085624509,0,1955,254,485,231,18.4,58900,480,452
29079,"Grundy County, Missouri",0.4397,0.859404373,0.063520332,0.05738597,0.016028495,0.003660829,0.8787322,0.017914561,0,0.049609554,0.01423978,0.104734577,0.335485414,0.144189383,0.135820182,0.075083692,0.043758967,0.070301291,0.010760402,0.016977523,0.029172645,0.009325681,0.024390244,0.264963782,0.524590164,0.014487228,0.020968357,0.094548227,0.080442242,40187,4995,0.187987988,0.718122161,0.281877839,2.44,0.784984985,0.009009009,0.026026026,0.065265265,0.014014014,0.00980981,0.015615616,0.003403403,0.071871872,0,1968,366,570,204,24.9,83300,772,550
29141,"Morgan County, Missouri",0.4691,0.861012188,0.073381151,0.045493304,0.018658775,0.001454582,0.846142796,0.000287315,0.014365752,0.049418187,0.03706364,0.101607522,0.123445557,0.122383985,0.151349712,0.096451319,0.060206248,0.137852593,0.015923567,0.035335153,0.085077343,0.042462845,0.027904155,0.220771271,0.583554377,0.024280759,0.028565599,0.077943277,0.064884717,32807,15415,0.488614985,0.735488426,0.264511574,2.52,0.730522219,0.004995135,0.006162828,0.021148232,0.016996432,0.012844632,0.008173857,0.002205644,0.196302303,0.000648719,1981,426,604,178,28.5,111900,833,539
29179,"Reynolds County, Missouri",0.4436,0.889830508,0.070724191,0.031432974,0.008012327,0,0.89590301,0.004180602,0.001254181,0.038043478,0.022575251,0.147761843,0.101260322,0.073011734,0.12603216,0.152107779,0.09039548,0.137331595,0.020425902,0.028683181,0.054758801,0.050412864,0.01781834,0.265442404,0.566499722,0.043962159,0.015025042,0.041179744,0.067890929,36736,4001,0.337165709,0.807558507,0.192441493,2.38,0.737065734,0.003999,0.008497876,0.019495126,0.013496626,0.001749563,0,0,0.215696076,0,1978,330,517,187,27.9,82200,540,489
29189,"St. Louis County, Missouri",0.4862,0.859460126,0.083701638,0.029334365,0.023148873,0.004354999,0.899456902,0.026360831,0.002402798,0.014632792,0.00885826,0.017190955,0.074747042,0.123287227,0.166250565,0.196836761,0.088531365,0.166062508,0.036835291,0.03706874,0.055839802,0.023612975,0.013736768,0.278737371,0.439410701,0.030767808,0.03326562,0.110613005,0.107205495,61103,438537,0.083963269,0.723412014,0.276587986,2.44,0.725284298,0.044716865,0.016472954,0.048452012,0.0573589,0.053311351,0.021026732,0.030971161,0.002255226,0.0001505,1968,724,903,179,29.1,176000,2491,1021
29209,"Stone County, Missouri",0.4291,0.853784552,0.059190132,0.060029708,0.025897701,0.001097908,0.909529754,0.000166459,0,0.022222222,0.004327923,0.051826829,0.08142946,0.122499778,0.082496222,0.113521202,0.070228465,0.143301627,0.04044804,0.079562628,0.134323051,0.05733843,0.023024269,0.190635825,0.65437479,0.02503073,0.029835736,0.049614482,0.050508437,41944,20553,0.383690945,0.783180667,0.216819333,2.43,0.690653433,0.01926726,0.016104705,0.023597528,0.036101786,0.042767479,0.009536321,0.005643945,0.150440325,0.005887218,1990,491,705,214,31,155500,832,658
