year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,pol_sway
2000,Alabama,AL,Autauga,1001,President,Al Gore,democrat,4942,17208,0.287192004
2000,Alabama,AL,Autauga,1001,President,George W. Bush,republican,11993,17208,0.696943282
2000,Alabama,AL,Autauga,1001,President,Ralph Nader,green,160,17208,0.009298001
2000,Alabama,AL,Autauga,1001,President,Other,NA,113,17208,0.006566713
2000,Alabama,AL,Baldwin,1003,President,Al Gore,democrat,13997,56480,0.247822238
2000,Alabama,AL,Baldwin,1003,President,George W. Bush,republican,40872,56480,0.723654391
2000,Alabama,AL,Baldwin,1003,President,Ralph Nader,green,1033,56480,0.01828966
2000,Alabama,AL,Baldwin,1003,President,Other,NA,578,56480,0.010233711
2000,Alabama,AL,Barbour,1005,President,Al Gore,democrat,5188,10395,0.499086099
2000,Alabama,AL,Barbour,1005,President,George W. Bush,republican,5096,10395,0.49023569
2000,Alabama,AL,Barbour,1005,President,Ralph Nader,green,46,10395,0.004425204
2000,Alabama,AL,Barbour,1005,President,Other,NA,65,10395,0.006253006
2000,Alabama,AL,Bibb,1007,President,Al Gore,democrat,2710,7101,0.381636389
2000,Alabama,AL,Bibb,1007,President,George W. Bush,republican,4273,7101,0.601746233
2000,Alabama,AL,Bibb,1007,President,Ralph Nader,green,52,7101,0.007322912
2000,Alabama,AL,Bibb,1007,President,Other,NA,66,7101,0.009294466
2000,Alabama,AL,Blount,1009,President,Al Gore,democrat,4977,17973,0.276915373
2000,Alabama,AL,Blount,1009,President,George W. Bush,republican,12667,17973,0.704779391
2000,Alabama,AL,Blount,1009,President,Ralph Nader,green,154,17973,0.008568408
2000,Alabama,AL,Blount,1009,President,Other,NA,175,17973,0.009736827
2000,Alabama,AL,Bullock,1011,President,Al Gore,democrat,3395,4904,0.692292007
2000,Alabama,AL,Bullock,1011,President,George W. Bush,republican,1433,4904,0.29221044
2000,Alabama,AL,Bullock,1011,President,Ralph Nader,green,24,4904,0.004893964
