Year,State_FIPS,County_FIPS,Region,Division,County_name,new_1_units,new_2_units,new_3to4_units,new_5_units,total_new_units
2000,1,1,South,East South Central,Autauga County                ,181,0,0,0,181
2000,1,3,South,East South Central,Baldwin County                ,1841,24,0,607,2472
2000,1,5,South,East South Central,Barbour County                ,27,0,0,40,67
2000,1,7,South,East South Central,Bibb County                   ,4,0,0,0,4
2000,1,9,South,East South Central,Blount County                 ,59,0,0,12,71
2000,1,11,South,East South Central,Bullock County                ,1,0,0,0,1
2000,1,13,South,East South Central,Butler County                 ,8,0,0,96,104
2000,1,15,South,East South Central,Calhoun County                ,252,0,39,45,336
2000,1,17,South,East South Central,Chambers County               ,26,0,0,0,26
2000,1,19,South,East South Central,Cherokee County               ,14,0,0,0,14
2000,1,21,South,East South Central,Chilton County                ,45,0,0,0,45
2000,1,23,South,East South Central,Choctaw County                ,1,0,0,0,1
2000,1,25,South,East South Central,Clarke County                 ,11,0,0,0,11
2000,1,27,South,East South Central,Clay County                   ,5,0,0,0,5
2000,1,29,South,East South Central,Cleburne County               ,11,0,0,16,27
2000,1,31,South,East South Central,Coffee County                 ,108,0,0,0,108
2000,1,33,South,East South Central,Colbert County                ,96,0,0,48,144
2000,1,35,South,East South Central,Conecuh County                ,5,0,0,0,5
2000,1,37,South,East South Central,Coosa County                  ,0,0,0,0,0
2000,1,39,South,East South Central,Covington County              ,21,0,0,0,21
2000,1,41,South,East South Central,Crenshaw County               ,2,0,0,0,2
2000,1,43,South,East South Central,Cullman County                ,42,0,0,24,66
2000,1,45,South,East South Central,Dale County                   ,44,2,0,0,46
2000,1,47,South,East South Central,Dallas County                 ,9,0,56,0,65
2000,1,49,South,East South Central,DeKalb County                 ,57,0,20,0,77
2000,1,51,South,East South Central,Elmore County                 ,226,0,28,0,254
2000,1,53,South,East South Central,Escambia County               ,16,0,0,0,16
2000,1,55,South,East South Central,Etowah County                 ,180,0,0,83,263
2000,1,57,South,East South Central,Fayette County                ,6,0,0,0,6
2000,1,59,South,East South Central,Franklin County               ,21,0,0,0,21
2000,1,61,South,East South Central,Geneva County                 ,22,0,0,0,22
2000,1,63,South,East South Central,Greene County                 ,7,0,0,0,7
2000,1,65,South,East South Central,Hale County                   ,32,0,0,0,32
2000,1,67,South,East South Central,Henry County                  ,17,0,0,0,17
2000,1,69,South,East South Central,Houston County                ,340,12,10,298,660
2000,1,71,South,East South Central,Jackson County                ,47,0,0,56,103
2000,1,73,South,East South Central,Jefferson County              ,2347,0,4,706,3057
2000,1,75,South,East South Central,Lamar County                  ,2,0,0,0,2
2000,1,77,South,East South Central,Lauderdale County             ,124,8,0,48,180
2000,1,79,South,East South Central,Lawrence County               ,8,0,24,0,32
2000,1,81,South,East South Central,Lee County                    ,330,132,18,94,574
2000,1,83,South,East South Central,Limestone County              ,109,0,0,0,109
2000,1,85,South,East South Central,Lowndes County                ,3,0,0,0,3
2000,1,87,South,East South Central,Macon County                  ,70,0,0,0,70
2000,1,89,South,East South Central,Madison County                ,949,0,8,144,1101
2000,1,91,South,East South Central,Marengo County                ,8,0,0,0,8
2000,1,93,South,East South Central,Marion County                 ,25,0,0,40,65
2000,1,95,South,East South Central,Marshall County               ,153,0,0,0,153
2000,1,97,South,East South Central,Mobile County                 ,1746,2,0,410,2158
2000,1,99,South,East South Central,Monroe County                 ,13,0,0,48,61
2000,1,101,South,East South Central,Montgomery County             ,811,0,4,20,835
2000,1,103,South,East South Central,Morgan County                 ,367,0,0,0,367
2000,1,105,South,East South Central,Perry County                  ,3,0,0,0,3
2000,1,107,South,East South Central,Pickens County                ,14,0,0,0,14
2000,1,109,South,East South Central,Pike County                   ,25,0,0,0,25
2000,1,111,South,East South Central,Randolph County               ,2,0,0,0,2
2000,1,113,South,East South Central,Russell County                ,108,2,0,248,358
2000,1,115,South,East South Central,St. Clair County              ,204,0,3,0,207
2000,1,117,South,East South Central,Shelby County                 ,1742,0,0,56,1798
2000,1,119,South,East South Central,Sumter County                 ,7,0,0,0,7
2000,1,121,South,East South Central,Talladega County              ,77,0,0,24,101
2000,1,123,South,East South Central,Tallapoosa County             ,39,0,0,48,87
2000,1,125,South,East South Central,Tuscaloosa County             ,582,6,0,121,709
2000,1,127,South,East South Central,Walker County                 ,32,0,0,0,32
2000,1,129,South,East South Central,Washington County             ,5,0,0,0,5
2000,1,131,South,East South Central,Wilcox County                 ,0,0,0,0,0
2000,1,133,South,East South Central,Winston County                ,3,0,0,0,3
2000,2,0,West,Pacific,Alaska Balance of State       ,153,4,4,6,167
2000,2,13,West,Pacific,Aleutians East Borough        ,1,0,0,0,1
2000,2,16,West,Pacific,Aleutians West Census Area    ,19,0,0,32,51
2000,2,20,West,Pacific,Anchorage Borough             ,821,210,26,133,1190
2000,2,50,West,Pacific,Bethel Census Area            ,50,0,0,0,50
2000,2,60,West,Pacific,Bristol Bay Borough           ,0,0,0,0,0
2000,2,90,West,Pacific,Fairbanks North Star Borough  ,124,0,0,0,124
2000,2,100,West,Pacific,Haines Borough                ,9,0,0,0,9
2000,2,110,West,Pacific,Juneau Borough                ,86,8,4,0,98
2000,2,122,West,Pacific,Kenai Peninsula Borough       ,91,2,10,6,109
2000,2,130,West,Pacific,Ketchikan Gateway Borough     ,31,8,0,0,39
2000,2,150,West,Pacific,Kodiak Island Borough         ,46,8,0,0,54
2000,2,170,West,Pacific,Matanuska-Susitna Borough     ,61,8,3,48,120
2000,2,180,West,Pacific,Nome Census Area              ,3,0,0,0,3
2000,2,185,West,Pacific,North Slope Borough           ,11,0,0,0,11
2000,2,201,West,Pacific,Prince of Wales-Outer Ketchika,1,0,0,0,1
2000,2,220,West,Pacific,Sitka Borough                 ,28,10,0,0,38
2000,2,232,West,Pacific,Skagway-Hoonah-Angoon Census A,22,0,0,10,32
2000,2,261,West,Pacific,Valdez-Cordova Census Area    ,35,0,0,0,35
2000,2,280,West,Pacific,Wrangell-Petersburg Census Are,9,0,0,0,9
2000,2,282,West,Pacific,Yakutat Borough               ,6,0,0,0,6
2000,4,1,West,Mountain,Apache County                 ,104,0,0,0,104
2000,4,3,West,Mountain,Cochise County                ,686,0,0,0,686
2000,4,5,West,Mountain,Coconino County               ,581,10,0,92,683
2000,4,7,West,Mountain,Gila County                   ,335,0,4,0,339
2000,4,9,West,Mountain,Graham County                 ,70,0,0,0,70
2000,4,11,West,Mountain,Greenlee County               ,5,0,0,0,5
2000,4,12,West,Mountain,La Paz County                 ,32,0,0,0,32
2000,4,13,West,Mountain,Maricopa County               ,32049,152,610,10245,43056
2000,4,15,West,Mountain,Mohave County                 ,1887,48,3,0,1938
2000,4,17,West,Mountain,Navajo County                 ,555,0,0,29,584
2000,4,19,West,Mountain,Pima County                   ,6816,104,233,626,7779
2000,4,21,West,Mountain,Pinal County                  ,2183,14,11,46,2254
2000,4,23,West,Mountain,Santa Cruz County             ,329,20,41,50,440
2000,4,25,West,Mountain,Yavapai County                ,2032,76,55,64,2227
2000,4,27,West,Mountain,Yuma County                   ,1180,4,0,104,1288
2000,5,1,South,West South Central,Arkansas County               ,13,0,0,0,13
2000,5,3,South,West South Central,Ashley County                 ,5,0,0,20,25
2000,5,5,South,West South Central,Baxter County                 ,58,16,16,41,131
2000,5,7,South,West South Central,Benton County                 ,1059,16,53,31,1159
2000,5,9,South,West South Central,Boone County                  ,138,0,0,13,151
2000,5,11,South,West South Central,Bradley County                ,3,0,0,0,3
2000,5,13,South,West South Central,Calhoun County                ,2,0,0,0,2
2000,5,15,South,West South Central,Carroll County                ,35,4,0,0,39
2000,5,17,South,West South Central,Chicot County                 ,12,0,0,0,12
2000,5,19,South,West South Central,Clark County                  ,29,0,0,0,29
2000,5,21,South,West South Central,Clay County                   ,8,0,0,6,14
2000,5,23,South,West South Central,Cleburne County               ,36,6,4,0,46
2000,5,25,South,West South Central,Cleveland County              ,0,0,0,0,0
2000,5,27,South,West South Central,Columbia County               ,12,0,0,0,12
2000,5,29,South,West South Central,Conway County                 ,9,0,0,0,9
2000,5,31,South,West South Central,Craighead County              ,274,18,12,16,320
2000,5,33,South,West South Central,Crawford County               ,115,2,4,28,149
2000,5,35,South,West South Central,Crittenden County             ,217,0,140,48,405
2000,5,37,South,West South Central,Cross County                  ,27,0,4,0,31
2000,5,39,South,West South Central,Dallas County                 ,3,0,0,0,3
2000,5,41,South,West South Central,Desha County                  ,15,12,4,0,31
2000,5,43,South,West South Central,Drew County                   ,39,0,6,24,69
2000,5,45,South,West South Central,Faulkner County               ,459,44,20,0,523
2000,5,47,South,West South Central,Franklin County               ,15,0,0,0,15
2000,5,49,South,West South Central,Fulton County                 ,9,0,0,0,9
2000,5,51,South,West South Central,Garland County                ,105,0,0,0,105
2000,5,53,South,West South Central,Grant County                  ,8,0,0,0,8
2000,5,55,South,West South Central,Greene County                 ,200,4,0,0,204
2000,5,57,South,West South Central,Hempstead County              ,16,0,0,0,16
2000,5,59,South,West South Central,Hot Spring County             ,5,2,0,0,7
2000,5,61,South,West South Central,Howard County                 ,17,0,0,0,17
2000,5,63,South,West South Central,Independence County           ,10,4,20,0,34
2000,5,65,South,West South Central,Izard County                  ,16,0,0,0,16
2000,5,67,South,West South Central,Jackson County                ,22,0,0,0,22
2000,5,69,South,West South Central,Jefferson County              ,109,18,0,12,139
2000,5,71,South,West South Central,Johnson County                ,26,0,0,0,26
2000,5,73,South,West South Central,Lafayette County              ,2,0,0,16,18
2000,5,75,South,West South Central,Lawrence County               ,16,4,0,0,20
2000,5,77,South,West South Central,Lee County                    ,12,2,0,19,33
2000,5,79,South,West South Central,Lincoln County                ,9,0,0,0,9
2000,5,81,South,West South Central,Little River County           ,2,0,0,0,2
2000,5,83,South,West South Central,Logan County                  ,8,0,0,0,8
2000,5,85,South,West South Central,Lonoke County                 ,333,4,19,0,356
2000,5,87,South,West South Central,Madison County                ,5,0,0,0,5
2000,5,89,South,West South Central,Marion County                 ,173,2,4,0,179
2000,5,91,South,West South Central,Miller County                 ,161,0,0,0,161
2000,5,93,South,West South Central,Mississippi County            ,40,0,0,0,40
2000,5,95,South,West South Central,Monroe County                 ,7,0,0,25,32
2000,5,99,South,West South Central,Nevada County                 ,4,0,0,0,4
2000,5,101,South,West South Central,Newton County                 ,3,0,0,0,3
2000,5,103,South,West South Central,Ouachita County               ,8,0,0,0,8
2000,5,105,South,West South Central,Perry County                  ,0,0,0,0,0
2000,5,107,South,West South Central,Phillips County               ,9,0,0,0,9
2000,5,111,South,West South Central,Poinsett County               ,57,0,0,0,57
2000,5,113,South,West South Central,Polk County                   ,19,4,0,0,23
2000,5,115,South,West South Central,Pope County                   ,89,18,12,16,135
2000,5,117,South,West South Central,Prairie County                ,6,0,0,0,6
2000,5,119,South,West South Central,Pulaski County                ,1031,2,193,189,1415
2000,5,121,South,West South Central,Randolph County               ,25,10,7,0,42
2000,5,123,South,West South Central,St. Francis County            ,16,0,0,64,80
2000,5,125,South,West South Central,Saline County                 ,409,8,19,8,444
2000,5,127,South,West South Central,Scott County                  ,3,0,0,20,23
2000,5,129,South,West South Central,Searcy County                 ,3,0,0,0,3
2000,5,131,South,West South Central,Sebastian County              ,265,68,4,82,419
2000,5,133,South,West South Central,Sevier County                 ,7,0,0,0,7
2000,5,135,South,West South Central,Sharp County                  ,5,0,0,0,5
2000,5,137,South,West South Central,Stone County                  ,10,0,0,0,10
2000,5,139,South,West South Central,Union County                  ,7,0,0,0,7
2000,5,141,South,West South Central,Van Buren County              ,0,0,0,0,0
2000,5,143,South,West South Central,Washington County             ,944,42,16,681,1683
2000,5,145,South,West South Central,White County                  ,96,10,16,0,122
2000,5,147,South,West South Central,Woodruff County               ,6,0,0,0,6
2000,5,149,South,West South Central,Yell County                   ,16,0,0,24,40
2000,6,1,West,Pacific,Alameda County                ,3071,12,116,855,4054
2000,6,3,West,Pacific,Alpine County                 ,25,0,0,0,25
