year,geoid,State,County_name,d_Metro,Economic_Type,d_Low_Education,d_low_employment,d_retirement_county,d_persistent_poverty,d_Persistent_Related_Child_Poverty
2015,1001,AL,Autauga County,1,Nonspecialized,0,0,1,0,0
2015,1003,AL,Baldwin County,1,Recreation,0,0,1,0,0
2015,1005,AL,Barbour County,0,Manufacturing,1,1,0,1,1
2015,1007,AL,Bibb County,1,Nonspecialized,1,1,0,0,1
2015,1009,AL,Blount County,1,Nonspecialized,1,1,0,0,0
2015,1011,AL,Bullock County,0,Manufacturing,1,1,0,1,1
2015,1013,AL,Butler County,0,Nonspecialized,0,1,0,1,1
2015,1015,AL,Calhoun County,1,Federal/State Government,0,1,0,0,0
2015,1017,AL,Chambers County,0,Nonspecialized,1,1,0,0,1
2015,1019,AL,Cherokee County,0,Nonspecialized,0,1,0,0,0
2015,1021,AL,Chilton County,1,Nonspecialized,0,0,0,0,0
2015,1023,AL,Choctaw County,0,Manufacturing,0,1,0,1,1
2015,1025,AL,Clarke County,0,Manufacturing,0,1,0,1,1
2015,1027,AL,Clay County,0,Manufacturing,1,1,0,0,0
2015,1029,AL,Cleburne County,0,Nonspecialized,1,1,0,0,0
2015,1031,AL,Coffee County,0,Nonspecialized,0,0,0,0,0
2015,1033,AL,Colbert County,1,Nonspecialized,0,0,0,0,0
2015,1035,AL,Conecuh County,0,Nonspecialized,1,1,0,1,1
2015,1037,AL,Coosa County,0,Manufacturing,1,1,0,0,0
2015,1039,AL,Covington County,0,Nonspecialized,0,1,0,0,1
2015,1041,AL,Crenshaw County,0,Manufacturing,0,0,0,0,1
2015,1043,AL,Cullman County,0,Nonspecialized,0,0,0,0,0
2015,1045,AL,Dale County,0,Manufacturing,0,0,0,0,0
2015,1047,AL,Dallas County,0,Manufacturing,1,1,0,1,1
2015,1049,AL,DeKalb County,0,Manufacturing,1,1,0,0,0
2015,1051,AL,Elmore County,1,Nonspecialized,0,0,0,0,0
2015,1053,AL,Escambia County,0,Nonspecialized,1,1,0,1,1
2015,1055,AL,Etowah County,1,Nonspecialized,0,1,0,0,0
2015,1057,AL,Fayette County,0,Nonspecialized,0,1,0,0,0
2015,1059,AL,Franklin County,0,Manufacturing,1,0,0,0,0
2015,1061,AL,Geneva County,1,Nonspecialized,1,1,0,0,1
2015,1063,AL,Greene County,0,Nonspecialized,0,1,0,1,1
2015,1065,AL,Hale County,1,Nonspecialized,1,1,0,1,1
2015,1067,AL,Henry County,1,Nonspecialized,0,1,1,0,1
2015,1069,AL,Houston County,1,Nonspecialized,0,0,0,0,1
2015,1071,AL,Jackson County,0,Manufacturing,1,1,0,0,0
2015,1073,AL,Jefferson County,1,Nonspecialized,0,0,0,0,1
2015,1075,AL,Lamar County,0,Manufacturing,0,1,0,0,0
2015,1077,AL,Lauderdale County,1,Nonspecialized,0,0,0,0,0
2015,1079,AL,Lawrence County,1,Manufacturing,0,1,0,0,0
2015,1081,AL,Lee County,1,Federal/State Government,0,0,1,0,0
2015,1083,AL,Limestone County,1,Federal/State Government,0,1,1,0,0
2015,1085,AL,Lowndes County,1,Manufacturing,0,1,0,1,1
2015,1087,AL,Macon County,0,Federal/State Government,0,1,0,1,1
2015,1089,AL,Madison County,1,Federal/State Government,0,0,0,0,0
2015,1091,AL,Marengo County,0,Nonspecialized,0,1,0,1,1
2015,1093,AL,Marion County,0,Manufacturing,1,1,0,0,0
2015,1095,AL,Marshall County,0,Manufacturing,1,0,0,0,0
2015,1097,AL,Mobile County,1,Nonspecialized,0,0,0,0,1
2015,1099,AL,Monroe County,0,Manufacturing,0,1,0,1,1
2015,1101,AL,Montgomery County,1,Federal/State Government,0,0,0,0,1
2015,1103,AL,Morgan County,1,Manufacturing,0,0,0,0,0
2015,1105,AL,Perry County,0,Nonspecialized,1,1,0,1,1
2015,1107,AL,Pickens County,1,Nonspecialized,0,1,0,1,1
2015,1109,AL,Pike County,0,Federal/State Government,0,0,0,1,1
2015,1111,AL,Randolph County,0,Nonspecialized,1,1,0,0,1
2015,1113,AL,Russell County,1,Manufacturing,0,0,0,0,1
2015,1115,AL,St. Clair County,1,Nonspecialized,0,0,1,0,0
2015,1117,AL,Shelby County,1,Nonspecialized,0,0,1,0,0
2015,1119,AL,Sumter County,0,Federal/State Government,0,1,0,1,1
2015,1121,AL,Talladega County,0,Manufacturing,0,1,0,0,1
2015,1123,AL,Tallapoosa County,0,Nonspecialized,1,1,0,0,0
2015,1125,AL,Tuscaloosa County,1,Federal/State Government,0,0,0,0,0
2015,1127,AL,Walker County,1,Nonspecialized,1,1,0,0,0
2015,1129,AL,Washington County,0,Manufacturing,0,1,0,0,1
2015,1131,AL,Wilcox County,0,Manufacturing,1,1,0,1,1
2015,1133,AL,Winston County,0,Manufacturing,1,1,0,0,0
2015,2013,AK,Aleutians East Borough,0,Manufacturing,0,0,0,0,0
2015,2016,AK,Aleutians West Census Area,0,Manufacturing,1,0,0,0,0
2015,2020,AK,Anchorage Municipality,1,Federal/State Government,0,0,0,0,0
2015,2050,AK,Bethel Census Area,0,Nonspecialized,0,1,0,0,1
2015,2060,AK,Bristol Bay Borough,0,Manufacturing,0,0,0,0,0
2015,2068,AK,Denali Borough,0,Recreation,0,0,0,0,0
2015,2070,AK,Dillingham Census Area,0,Manufacturing,0,0,0,0,1
2015,2090,AK,Fairbanks North Star Borough,1,Federal/State Government,0,0,0,0,0
2015,2100,AK,Haines Borough,0,Recreation,0,0,0,0,0
2015,2105,AK,"Hoonah-Angoon Census Area, AK",0,Federal/State Government,0,0,0,0,0
2015,2110,AK,Juneau City and Borough,0,Federal/State Government,0,0,0,0,0
2015,2122,AK,Kenai Peninsula Borough,0,Recreation,0,0,0,0,0
