Series ID,Region Name,county_fips,2009,2010,2011,2012,2013,2014,2015,2016
RACEDISPARITY045001,"Abbeville County, SC",45001,25.37610214,29.43309317,28.47531302,27.53202328,32.66663148,30.89978143,27.09889768,25.05343278
RACEDISPARITY022001,"Acadia Parish, LA",22001,43.21074402,45.95333191,41.68598542,44.45994119,40.98743298,41.94642295,45.78214312,50.3970652
RACEDISPARITY051001,"Accomack County, VA",51001,33.37567251,34.51038859,33.93884705,32.0648702,33.08211608,30.74011203,30.03624404,26.25404144
RACEDISPARITY016001,"Ada County, ID",16001,20.18536326,17.74784374,18.46737484,20.12845042,20.46404088,21.62572736,21.84108524,24.39429644
RACEDISPARITY029001,"Adair County, MO",29001,31.71231323,29.00688139,31.2614273,28.26377637,27.62505006,30.29527657,23.21647426,18.95791008
RACEDISPARITY019001,"Adair County, IA",19001,48.8875031,49.17723331,48.20906918,39.29777273,23.68671101,15.94345918,15.77311147,15.36480694
RACEDISPARITY021001,"Adair County, KY",21001,32.68500801,32.47721527,30.87733129,35.31219317,37.59930262,37.34094393,34.82378276,34.54583401
RACEDISPARITY040001,"Adair County, OK",40001,32.28609567,36.42630421,31.4720977,34.18162401,34.26095833,36.9722636,26.32004859,24.71840265
RACEDISPARITY016003,"Adams County, ID",16003,47.62021117,6.277901786,18.41294299,20.56172473,30.62159893,1.458886825,52.64590796,45.74025363
RACEDISPARITY053001,"Adams County, WA",53001,48.41398779,50.80874346,47.45339879,50.65746353,52.8699177,52.4293491,48.58243517,49.95157076
RACEDISPARITY055001,"Adams County, WI",55001,47.59054204,46.41777632,51.0416838,50.23455288,48.19386386,47.14370461,44.90827192,42.42400103
RACEDISPARITY008001,"Adams County, CO",8001,34.16924179,33.61299062,33.83533684,34.64886887,35.03429201,36.22993924,35.78756833,35.85656571
RACEDISPARITY042001,"Adams County, PA",42001,27.28849034,28.14375145,29.21260519,30.87704179,28.8126365,31.25845568,30.84976397,29.11469661
RACEDISPARITY038001,"Adams County, ND",38001,,0,0,0,0,0,0,
RACEDISPARITY017001,"Adams County, IL",17001,36.73500525,35.60994302,43.77878339,38.79049032,39.99590227,36.87604419,33.45516699,32.76091778
RACEDISPARITY031001,"Adams County, NE",31001,35.64783608,38.63297578,37.34364447,32.49626802,37.75696418,32.89532479,30.01637067,25.55102693
RACEDISPARITY019003,"Adams County, IA",19003,26.65558285,1.67064899,6.484076433,37.43275612,30.31820032,28.08589843,16.67568865,9.712777074
RACEDISPARITY028001,"Adams County, MS",28001,45.70724439,48.47327339,45.35356249,44.65789181,45.36559091,42.69157047,36.34607947,37.5312456
RACEDISPARITY039001,"Adams County, OH",39001,33.12640807,31.40900841,21.63456994,27.7581782,15.35532427,26.49556999,28.79185538,44.11593298
RACEDISPARITY018001,"Adams County, IN",18001,40.08451802,41.50438772,39.19111572,44.21226859,39.67457561,41.4391343,38.62344527,29.78630543
RACEDISPARITY050001,"Addison County, VT",50001,34.46567255,31.71554573,22.82354444,22.07532679,20.91971063,25.50180983,26.82787003,31.56795879
RACEDISPARITY045003,"Aiken County, SC",45003,25.86637242,26.32030611,26.74895795,26.78436772,26.61614099,26.79327809,27.46169883,28.82937556
RACEDISPARITY027001,"Aitkin County, MN",27001,29.48854944,29.22333846,22.26285253,16.15160604,23.0246304,24.61345919,23.59763863,17.8289859
RACEDISPARITY012001,"Alachua County, FL",12001,30.44599942,30.59667075,31.53734372,30.56162214,29.12184245,29.66325741,29.60106892,28.66498171
RACEDISPARITY037001,"Alamance County, NC",37001,41.65232731,44.84371731,43.36089648,43.571006,37.93663338,39.12677745,38.44231655,40.36771833
RACEDISPARITY006001,"Alameda County, CA",6001,41.57150688,40.67944958,40.891347,41.16366992,40.72976528,40.50865509,40.97120696,40.94379578
RACEDISPARITY008003,"Alamosa County, CO",8003,28.460483,26.02435662,26.10774251,32.43054205,27.97190827,27.95317596,24.29988699,25.24742241
RACEDISPARITY036001,"Albany County, NY",36001,45.59791517,45.24974982,46.02782391,46.66229745,46.15168491,45.27602903,45.14791463,43.93060307
RACEDISPARITY056001,"Albany County, WY",56001,21.21696169,20.05600715,17.90455977,12.99505177,19.02287475,20.39890631,16.18669701,23.32266277
RACEDISPARITY051003,"Albemarle County, VA",51003,29.51520127,35.57604764,34.9162539,34.24457149,30.91519584,28.47538081,29.42706313,30.97226458
RACEDISPARITY026001,"Alcona County, MI",26001,12.98587184,11.57943451,13.07260108,18.54379355,22.20919274,25.48453299,31.28283709,27.43678788
