State FIPS Code,state name,State Abbreviation,Year,min_wage
2,Alaska,AK,1974,2.5
2,Alaska,AK,1975,2.599999905
2,Alaska,AK,1976,2.799999952
2,Alaska,AK,1977,2.799999952
2,Alaska,AK,1978,3.093424797
2,Alaska,AK,1979,3.400000095
2,Alaska,AK,1980,3.599999905
2,Alaska,AK,1981,3.849999905
2,Alaska,AK,1982,3.849999905
2,Alaska,AK,1983,3.849999905
2,Alaska,AK,1984,3.849999905
2,Alaska,AK,1985,3.849999905
2,Alaska,AK,1986,3.849999905
2,Alaska,AK,1987,3.849999905
2,Alaska,AK,1988,3.849999905
2,Alaska,AK,1989,3.849999905
2,Alaska,AK,1990,4.189041138
2,Alaska,AK,1991,4.639040947
2,Alaska,AK,1992,4.75
2,Alaska,AK,1993,4.75
2,Alaska,AK,1994,4.75
2,Alaska,AK,1995,4.75
2,Alaska,AK,1996,4.875682831
2,Alaska,AK,1997,5.383698463
2,Alaska,AK,1998,5.650000095
2,Alaska,AK,1999,5.650000095
2,Alaska,AK,2000,5.650000095
2,Alaska,AK,2001,5.650000095
2,Alaska,AK,2002,5.650000095
2,Alaska,AK,2003,7.150000095
2,Alaska,AK,2004,7.150000095
2,Alaska,AK,2005,7.150000095
2,Alaska,AK,2006,7.150000095
2,Alaska,AK,2007,7.150000095
2,Alaska,AK,2008,7.150000095
2,Alaska,AK,2009,7.19410944
2,Alaska,AK,2010,7.75
2,Alaska,AK,2011,7.75
2,Alaska,AK,2012,7.75
2,Alaska,AK,2013,7.75
2,Alaska,AK,2014,7.75
2,Alaska,AK,2015,8.75
2,Alaska,AK,2016,9.75
1,Alabama,AL,1974,2
1,Alabama,AL,1975,2.099999905
1,Alabama,AL,1976,2.299999952
1,Alabama,AL,1977,2.299999952
1,Alabama,AL,1978,2.650000095
1,Alabama,AL,1979,2.900000095
1,Alabama,AL,1980,3.099999905
1,Alabama,AL,1981,3.349999905
1,Alabama,AL,1982,3.349999905
1,Alabama,AL,1983,3.349999905
1,Alabama,AL,1984,3.349999905
1,Alabama,AL,1985,3.349999905
1,Alabama,AL,1986,3.349999905
1,Alabama,AL,1987,3.349999905
1,Alabama,AL,1988,3.349999905
1,Alabama,AL,1989,3.349999905
1,Alabama,AL,1990,3.689041138
1,Alabama,AL,1991,4.139040947
1,Alabama,AL,1992,4.25
1,Alabama,AL,1993,4.25
1,Alabama,AL,1994,4.25
1,Alabama,AL,1995,4.25
1,Alabama,AL,1996,4.375682831
1,Alabama,AL,1997,4.883698463
1,Alabama,AL,1998,5.150000095
1,Alabama,AL,1999,5.150000095
1,Alabama,AL,2000,5.150000095
1,Alabama,AL,2001,5.150000095
1,Alabama,AL,2002,5.150000095
1,Alabama,AL,2003,5.150000095
1,Alabama,AL,2004,5.150000095
1,Alabama,AL,2005,5.150000095
1,Alabama,AL,2006,5.150000095
1,Alabama,AL,2007,5.458766937
1,Alabama,AL,2008,6.157923698
1,Alabama,AL,2009,6.858767033
1,Alabama,AL,2010,7.25
1,Alabama,AL,2011,7.25
1,Alabama,AL,2012,7.25
1,Alabama,AL,2013,7.25
1,Alabama,AL,2014,7.25
1,Alabama,AL,2015,7.25
1,Alabama,AL,2016,7.25
5,Arkansas,AR,1974,2
5,Arkansas,AR,1975,2.099999905
5,Arkansas,AR,1976,2.299999952
5,Arkansas,AR,1977,2.299999952
5,Arkansas,AR,1978,2.650000095
5,Arkansas,AR,1979,2.900000095
5,Arkansas,AR,1980,3.099999905
5,Arkansas,AR,1981,3.349999905
5,Arkansas,AR,1982,3.349999905
5,Arkansas,AR,1983,3.349999905
5,Arkansas,AR,1984,3.349999905
5,Arkansas,AR,1985,3.349999905
5,Arkansas,AR,1986,3.349999905
5,Arkansas,AR,1987,3.349999905
5,Arkansas,AR,1988,3.349999905
5,Arkansas,AR,1989,3.349999905
5,Arkansas,AR,1990,3.689041138
5,Arkansas,AR,1991,4.139040947
5,Arkansas,AR,1992,4.25
5,Arkansas,AR,1993,4.25
5,Arkansas,AR,1994,4.25
5,Arkansas,AR,1995,4.25
5,Arkansas,AR,1996,4.375682831
5,Arkansas,AR,1997,4.883698463
5,Arkansas,AR,1998,5.150000095
5,Arkansas,AR,1999,5.150000095
5,Arkansas,AR,2000,5.150000095
5,Arkansas,AR,2001,5.150000095
5,Arkansas,AR,2002,5.150000095
5,Arkansas,AR,2003,5.150000095
5,Arkansas,AR,2004,5.150000095
5,Arkansas,AR,2005,5.150000095
5,Arkansas,AR,2006,5.427260399
5,Arkansas,AR,2007,6.25
5,Arkansas,AR,2008,6.381967068
5,Arkansas,AR,2009,6.858767033
5,Arkansas,AR,2010,7.25
5,Arkansas,AR,2011,7.25
5,Arkansas,AR,2012,7.25
5,Arkansas,AR,2013,7.25
5,Arkansas,AR,2014,7.25
5,Arkansas,AR,2015,7.5
5,Arkansas,AR,2016,8
4,Arizona,AZ,1974,2
4,Arizona,AZ,1975,2.099999905
4,Arizona,AZ,1976,2.299999952
4,Arizona,AZ,1977,2.299999952
4,Arizona,AZ,1978,2.650000095
4,Arizona,AZ,1979,2.900000095
4,Arizona,AZ,1980,3.099999905
4,Arizona,AZ,1981,3.349999905
4,Arizona,AZ,1982,3.349999905
4,Arizona,AZ,1983,3.349999905
4,Arizona,AZ,1984,3.349999905
4,Arizona,AZ,1985,3.349999905
4,Arizona,AZ,1986,3.349999905
4,Arizona,AZ,1987,3.349999905
4,Arizona,AZ,1988,3.349999905
4,Arizona,AZ,1989,3.349999905
4,Arizona,AZ,1990,3.689041138
4,Arizona,AZ,1991,4.139040947
4,Arizona,AZ,1992,4.25
4,Arizona,AZ,1993,4.25
4,Arizona,AZ,1994,4.25
4,Arizona,AZ,1995,4.25
4,Arizona,AZ,1996,4.375682831
4,Arizona,AZ,1997,4.883698463
4,Arizona,AZ,1998,5.150000095
4,Arizona,AZ,1999,5.150000095
4,Arizona,AZ,2000,5.150000095
4,Arizona,AZ,2001,5.150000095
4,Arizona,AZ,2002,5.150000095
4,Arizona,AZ,2003,5.150000095
4,Arizona,AZ,2004,5.150000095
4,Arizona,AZ,2005,5.150000095
4,Arizona,AZ,2006,5.150000095
4,Arizona,AZ,2007,6.75
4,Arizona,AZ,2008,6.900000095
4,Arizona,AZ,2009,7.25
4,Arizona,AZ,2010,7.25
4,Arizona,AZ,2011,7.349999905
4,Arizona,AZ,2012,7.650000095
4,Arizona,AZ,2013,7.800000191
4,Arizona,AZ,2014,7.900000095
4,Arizona,AZ,2015,8.050000191
4,Arizona,AZ,2016,8.050000191
6,California,CA,1974,2
6,California,CA,1975,2.099999905
6,California,CA,1976,2.340983629
6,California,CA,1977,2.5
