Year,FIPS,State,County_Name,Description
2013,01001,AL,Autauga County,Small-in a metro area with fewer than 1 million residents                                           
2013,01003,AL,Baldwin County,Small-in a metro area with fewer than 1 million residents                                           
2013,01005,AL,Barbour County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01007,AL,Bibb County,Large-in a metro area with at least 1 million residents or more                                     
2013,01009,AL,Blount County,Large-in a metro area with at least 1 million residents or more                                     
2013,01011,AL,Bullock County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01013,AL,Butler County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01015,AL,Calhoun County,Small-in a metro area with fewer than 1 million residents                                           
2013,01017,AL,Chambers County,Micropolitan adjacent to a small metro area                                                         
2013,01019,AL,Cherokee County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01021,AL,Chilton County,Large-in a metro area with at least 1 million residents or more                                     
2013,01023,AL,Choctaw County,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              "
2013,01025,AL,Clarke County,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,01027,AL,Clay County,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              "
2013,01029,AL,Cleburne County,Noncore adjacent to a large metro area                                                              
2013,01031,AL,Coffee County,Micropolitan adjacent to a small metro area                                                         
2013,01033,AL,Colbert County,Small-in a metro area with fewer than 1 million residents                                           
2013,01035,AL,Conecuh County,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,01037,AL,Coosa County,Micropolitan adjacent to a large metro area                                                         
2013,01039,AL,Covington County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01041,AL,Crenshaw County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01043,AL,Cullman County,Micropolitan adjacent to a large metro area                                                         
2013,01045,AL,Dale County,Micropolitan adjacent to a small metro area                                                         
2013,01047,AL,Dallas County,Micropolitan adjacent to a small metro area                                                         
2013,01049,AL,DeKalb County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01051,AL,Elmore County,Small-in a metro area with fewer than 1 million residents                                           
2013,01053,AL,Escambia County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01055,AL,Etowah County,Small-in a metro area with fewer than 1 million residents                                           
2013,01057,AL,Fayette County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01059,AL,Franklin County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01061,AL,Geneva County,Small-in a metro area with fewer than 1 million residents                                           
2013,01063,AL,Greene County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01065,AL,Hale County,Small-in a metro area with fewer than 1 million residents                                           
2013,01067,AL,Henry County,Small-in a metro area with fewer than 1 million residents                                           
2013,01069,AL,Houston County,Small-in a metro area with fewer than 1 million residents                                           
2013,01071,AL,Jackson County,Micropolitan adjacent to a small metro area                                                         
2013,01073,AL,Jefferson County,Large-in a metro area with at least 1 million residents or more                                     
2013,01075,AL,Lamar County,"Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents           "
2013,01077,AL,Lauderdale County,Small-in a metro area with fewer than 1 million residents                                           
2013,01079,AL,Lawrence County,Small-in a metro area with fewer than 1 million residents                                           
2013,01081,AL,Lee County,Small-in a metro area with fewer than 1 million residents                                           
2013,01083,AL,Limestone County,Small-in a metro area with fewer than 1 million residents                                           
2013,01085,AL,Lowndes County,Small-in a metro area with fewer than 1 million residents                                           
2013,01087,AL,Macon County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01089,AL,Madison County,Small-in a metro area with fewer than 1 million residents                                           
2013,01091,AL,Marengo County,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,01093,AL,Marion County,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,01095,AL,Marshall County,Micropolitan adjacent to a small metro area                                                         
2013,01097,AL,Mobile County,Small-in a metro area with fewer than 1 million residents                                           
2013,01099,AL,Monroe County,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,01101,AL,Montgomery County,Small-in a metro area with fewer than 1 million residents                                           
2013,01103,AL,Morgan County,Small-in a metro area with fewer than 1 million residents                                           
2013,01105,AL,Perry County,Noncore adjacent to a large metro area                                                              
2013,01107,AL,Pickens County,Small-in a metro area with fewer than 1 million residents                                           
2013,01109,AL,Pike County,Micropolitan adjacent to a small metro area                                                         
2013,01111,AL,Randolph County,Noncore adjacent to a large metro area                                                              
2013,01113,AL,Russell County,Small-in a metro area with fewer than 1 million residents                                           
2013,01115,AL,St. Clair County,Large-in a metro area with at least 1 million residents or more                                     
2013,01117,AL,Shelby County,Large-in a metro area with at least 1 million residents or more                                     
2013,01119,AL,Sumter County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01121,AL,Talladega County,Micropolitan adjacent to a large metro area                                                         
2013,01123,AL,Tallapoosa County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
2013,01125,AL,Tuscaloosa County,Small-in a metro area with fewer than 1 million residents                                           
2013,01127,AL,Walker County,Large-in a metro area with at least 1 million residents or more                                     
2013,01129,AL,Washington County,"Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents           "
2013,01131,AL,Wilcox County,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              "
2013,01133,AL,Winston County,Noncore adjacent to a large metro area                                                              
2013,02013,AK,Aleutians East Borough,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02016,AK,Aleutians West Census Area,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02020,AK,Anchorage Municipality,Small-in a metro area with fewer than 1 million residents                                           
2013,02050,AK,Bethel Census Area,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02060,AK,Bristol Bay Borough,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02068,AK,Denali Borough,"Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents           "
2013,02070,AK,Dillingham Census Area,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02090,AK,Fairbanks North Star Borough,Small-in a metro area with fewer than 1 million residents                                           
2013,02100,AK,Haines Borough,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02105,AK,"Hoonah-Angoon Census Area, AK","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              "
2013,02110,AK,Juneau City and Borough,Micropolitan not adjacent to a metro area                                                           
2013,02122,AK,Kenai Peninsula Borough,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02130,AK,Ketchikan Gateway Borough,Micropolitan not adjacent to a metro area                                                           
2013,02150,AK,Kodiak Island Borough,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02164,AK,Lake and Peninsula Borough,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02170,AK,Matanuska-Susitna Borough,Small-in a metro area with fewer than 1 million residents                                           
2013,02180,AK,Nome Census Area,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02185,AK,North Slope Borough,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02188,AK,Northwest Arctic Borough,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02195,AK,Petersburg Census area,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02198,AK,Price of Wales Hyder Census Area,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              "
2013,02220,AK,Sitka City and Borough,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02230,AK,Skagway Municipality,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02240,AK,Southeast Fairbanks Census Area,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02261,AK,Valdez-Cordova Census Area,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
2013,02270,AK,Wade Hampton Census Area,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02275,AK,Wrangell City and Borough,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02282,AK,Yakutat City and Borough,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,02290,AK,Yukon-Koyukuk Census Area,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
2013,04001,AZ,Apache County,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
